,INSCRITOS,VIDEOS,VIEWS_CANAL,CANAL,TITULO,URL,DATA,DESCRICAO,IDCANAL,ID VIDEO,VISUALIZACAO,LIKES,COMENARIOS
0,1950000     ,8117,430226203,TV Palmeiras/FAM,ADRIANE GALISTEU | PALMEIRAS CAST #30,"{'default': {'url': 'https://i.ytimg.com/vi/JZ_KRo_-EkA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/JZ_KRo_-EkA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/JZ_KRo_-EkA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/JZ_KRo_-EkA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/JZ_KRo_-EkA/maxresdefault.jpg', 'width': 1280, 'height': 720}}",2023-06-16T20:27:30Z,"Nesta edição do Palmeiras Cast by Betfair todo o carisma de Adriane Galisteu.
-----------
Conteúdo Powered by @CanonBR
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #verdão",UCBKc-rPDivvwFiWdG-81wxw,JZ_KRo_-EkA,50739,4787,137
1,1950000     ,8117,430226203,TV Palmeiras/FAM,MAZINHO | PALMEIRAS CAST #29,"{'default': {'url': 'https://i.ytimg.com/vi/T7TBfbCt7v4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/T7TBfbCt7v4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/T7TBfbCt7v4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/T7TBfbCt7v4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/T7TBfbCt7v4/maxresdefault.jpg', 'width': 1280, 'height': 720}}",2023-06-12T21:31:10Z,"Relembrando a conquista do Campeonato Paulista de 1993, 30 anos depois o Palmeiras Cast by Betfair recebe o ex-meia Mazinho.
-----------
Conteúdo Powered by @CanonBR
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #verdão",UCBKc-rPDivvwFiWdG-81wxw,T7TBfbCt7v4,66894,4053,223
2,1950000     ,8117,430226203,TV Palmeiras/FAM,DUDU | PALMEIRAS CAST #28,"{'default': {'url': 'https://i.ytimg.com/vi/aS59LAJOxHY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/aS59LAJOxHY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/aS59LAJOxHY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/aS59LAJOxHY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/aS59LAJOxHY/maxresdefault.jpg', 'width': 1280, 'height': 720}}",2023-06-09T18:19:29Z,"Estreando a nova sala do Palmeiras Cast by Betfair, o nosso craque Dudu abre o jogo sobre sua história e os recordes alcançados no Verdão.
-----------
Conteúdo Powered by @CanonBR
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #verdão",UCBKc-rPDivvwFiWdG-81wxw,aS59LAJOxHY,213126,17924,816
3,1950000     ,8117,430226203,TV Palmeiras/FAM,ALEX | PALMEIRAS CAST #27,"{'default': {'url': 'https://i.ytimg.com/vi/afqgDHAN5tU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/afqgDHAN5tU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/afqgDHAN5tU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/afqgDHAN5tU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/afqgDHAN5tU/maxresdefault.jpg', 'width': 1280, 'height': 720}}",2023-05-29T00:05:36Z,"Ídolo no Palmeiras e na Turquia, o ex-meia Alex é o convidado de hoje do Palmeiras Cast.
-----------
Conteúdo Powered by @CanonBR
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #verdão",UCBKc-rPDivvwFiWdG-81wxw,afqgDHAN5tU,184514,9504,405
4,1950000     ,8117,430226203,TV Palmeiras/FAM,LUAN | PALMEIRAS CAST #26,"{'default': {'url': 'https://i.ytimg.com/vi/Ywfck2nByCI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Ywfck2nByCI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Ywfck2nByCI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Ywfck2nByCI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Ywfck2nByCI/maxresdefault.jpg', 'width': 1280, 'height': 720}}",2023-05-19T23:05:59Z,"Bicampeão da Conmebol Libertadores, o convidado de hoje para uma resenha especial é o zagueiro Luan.
-----------
Conteúdo Powered by @CanonBR
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #verdão",UCBKc-rPDivvwFiWdG-81wxw,Ywfck2nByCI,76967,5195,306
5,1950000     ,8117,430226203,TV Palmeiras/FAM,MARCOS ASSUNÇÃO | PALMEIRAS CAST #25,"{'default': {'url': 'https://i.ytimg.com/vi/V3i1eJLD5vk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/V3i1eJLD5vk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/V3i1eJLD5vk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/V3i1eJLD5vk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/V3i1eJLD5vk/maxresdefault.jpg', 'width': 1280, 'height': 720}}",2023-05-12T22:48:22Z,"Exímio cobrador de faltas, Marcos Assunção é o convidado desta edição do Palmeiras Cast.
-----------
Conteúdo Powered by @CanonBR
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #verdão",UCBKc-rPDivvwFiWdG-81wxw,V3i1eJLD5vk,76958,4786,209
6,1950000     ,8117,430226203,TV Palmeiras/FAM,"LÉO BRANCACCIO, GANDULA DO PALMEIRAS | PALMEIRAS CAST #24","{'default': {'url': 'https://i.ytimg.com/vi/arcenaQnAjw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/arcenaQnAjw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/arcenaQnAjw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/arcenaQnAjw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/arcenaQnAjw/maxresdefault.jpg', 'width': 1280, 'height': 720}}",2023-05-05T21:57:15Z,"Leonardo Brancaccio completou 30 anos como gandula do Palmeiras e virou convidado do Palmeiras Cast!
Conteúdo Powered by @CanonBR
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #gandula",UCBKc-rPDivvwFiWdG-81wxw,arcenaQnAjw,10824,1293,31
7,1950000     ,8117,430226203,TV Palmeiras/FAM,ROGÉRIO GODOY E THALES DAMASCENO | PALMEIRAS CAST #23,"{'default': {'url': 'https://i.ytimg.com/vi/wESXlza3C0A/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/wESXlza3C0A/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/wESXlza3C0A/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/wESXlza3C0A/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/wESXlza3C0A/maxresdefault.jpg', 'width': 1280, 'height': 720}}",2023-04-28T21:52:08Z,"Nesta semana tivemos o dia do goleiro e em homenagem a esta data o episódio de hoje é com os preparadores de goleiro do Palmeiras, Rogério Godoy e Thales Damasceno.
-----------
Conteúdo Powered by @CanonBR
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #verdão",UCBKc-rPDivvwFiWdG-81wxw,wESXlza3C0A,29283,2445,57
8,1950000     ,8117,430226203,TV Palmeiras/FAM,FRED | PALMEIRAS CAST #22,"{'default': {'url': 'https://i.ytimg.com/vi/KusjBPR8Gu4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/KusjBPR8Gu4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/KusjBPR8Gu4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/KusjBPR8Gu4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/KusjBPR8Gu4/maxresdefault.jpg', 'width': 1280, 'height': 720}}",2023-04-21T21:25:07Z,"O episódio de hoje é com o influenciador palmeirense Fred, do canal @desimpedidos .
-----------
Conteúdo Powered by @CanonBR
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #verdão",UCBKc-rPDivvwFiWdG-81wxw,KusjBPR8Gu4,85833,5830,161
9,1950000     ,8117,430226203,TV Palmeiras/FAM,PRESIDENTE LEILA PEREIRA | PALMEIRAS CAST #21,"{'default': {'url': 'https://i.ytimg.com/vi/Th6zJcnD2Qs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Th6zJcnD2Qs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Th6zJcnD2Qs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Th6zJcnD2Qs/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Th6zJcnD2Qs/maxresdefault.jpg', 'width': 1280, 'height': 720}}",2023-04-15T15:02:04Z,"A presidente Leila Pereira é a convidada desta edição do Palmeiras Cast.
Conteúdo Powered by @CanonBR
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #leilapereira #palmeirascast",UCBKc-rPDivvwFiWdG-81wxw,Th6zJcnD2Qs,202122,10604,681
10,1950000     ,8117,430226203,TV Palmeiras/FAM,DR. PEDRO PONTIN E DANIEL GONÇALVES | PALMEIRAS CAST #20,"{'default': {'url': 'https://i.ytimg.com/vi/rsVafC17bhc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/rsVafC17bhc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/rsVafC17bhc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/rsVafC17bhc/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/rsVafC17bhc/maxresdefault.jpg', 'width': 1280, 'height': 720}}",2023-04-07T20:38:45Z,"No dia mundial da saúde recebemos representantes do Núcleo de Saúde e Performance do Palmeiras para o 20º episódio do Palmeiras Cast.
-----------
CONTEÚDO POWERED BY CANON
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeirascast #tvpalmeiras #verdão",UCBKc-rPDivvwFiWdG-81wxw,rsVafC17bhc,15742,1661,33
11,1950000     ,8117,430226203,TV Palmeiras/FAM,BRUNO E STELLA VICARI | PALMEIRAS CAST #19,"{'default': {'url': 'https://i.ytimg.com/vi/xPURlLtim2Y/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/xPURlLtim2Y/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/xPURlLtim2Y/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/xPURlLtim2Y/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/xPURlLtim2Y/maxresdefault.jpg', 'width': 1280, 'height': 720}}",2023-03-31T21:40:50Z,"O Palmeiras Cast 19 é com o apresentador Bruno Vicari, da ESPN Brasil, e sua filha Stella. 
CONTEÚDO POWERED BY CANON
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #brunovicari #palmeirascast #podcast",UCBKc-rPDivvwFiWdG-81wxw,xPURlLtim2Y,109332,7764,238
12,1950000     ,8117,430226203,TV Palmeiras/FAM,"MARCOS CHIESA, O BOLA | PALMEIRAS CAST #18","{'default': {'url': 'https://i.ytimg.com/vi/WDLdxUdyRiY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/WDLdxUdyRiY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/WDLdxUdyRiY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/WDLdxUdyRiY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/WDLdxUdyRiY/maxresdefault.jpg', 'width': 1280, 'height': 720}}",2023-03-24T11:50:39Z,"O comediante palmeirense Marcos Chiesa, o Bola, hoje é titular do @Ticaraticast. Ele é o convidado desta semana no Palmeiras Cast.
-----------
CONTEÚDO POWERED BY CANON
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #marcoschiesa #bola",UCBKc-rPDivvwFiWdG-81wxw,WDLdxUdyRiY,70042,5754,197
13,1950000     ,8117,430226203,TV Palmeiras/FAM,THIAGO VENTURA | PALMEIRAS CAST #17,"{'default': {'url': 'https://i.ytimg.com/vi/ORhJCKXm7-k/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ORhJCKXm7-k/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ORhJCKXm7-k/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ORhJCKXm7-k/sddefault.jpg', 'width': 640, 'height': 480}}",2023-03-19T14:05:48Z,"O comediante palmeirense @othiagoventura é o convidado desta semana no Palmeiras Cast.
-----------
CONTEÚDO POWERED BY CANON
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #thiagoventura",UCBKc-rPDivvwFiWdG-81wxw,ORhJCKXm7-k,111236,7834,166
14,1950000     ,8117,430226203,TV Palmeiras/FAM,WEVERTON | PALMEIRAS CAST #16,"{'default': {'url': 'https://i.ytimg.com/vi/ShmceoDkPcg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ShmceoDkPcg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ShmceoDkPcg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ShmceoDkPcg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ShmceoDkPcg/maxresdefault.jpg', 'width': 1280, 'height': 720}}",2023-03-10T22:31:33Z,"Weverton é o entrevistado do Palmeiras Cast nesta semana. 
-----------
CONTEÚDO POWERED BY CANON
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #palmeirascast #weverton #podcast",UCBKc-rPDivvwFiWdG-81wxw,ShmceoDkPcg,92559,5587,258
